id,title,category,tags,view_count,author_name,created_date,status,word_count,avg_rating,comment_count,bookmark_count
1,How to Reset Your Active Directory Password,IT Support,"password,active-directory,security",1245,John Smith,2024-01-05,published,520,4.5,12,34
2,VPN Setup Guide for Remote Workers,IT Support,"vpn,remote-work,network",980,Jane Doe,2024-01-08,published,780,4.3,8,45
3,Onboarding Checklist for New Employees,HR,"onboarding,hr,new-hire",2100,Alice Johnson,2024-01-10,published,650,4.8,25,120
4,Expense Report Submission Process,Finance,"expense,reimbursement,finance",870,Bob Williams,2024-01-12,published,430,4.1,6,30
5,Information Security Policy Overview,Security,"security,policy,compliance",760,Carol Davis,2024-01-15,published,900,4.6,10,55
6,How to Use the Internal Ticketing System,IT Support,"helpdesk,tickets,support",1560,John Smith,2024-01-18,published,490,4.4,18,67
7,Employee Benefits Guide 2024,HR,"benefits,health,insurance",1890,Alice Johnson,2024-01-20,published,1200,4.7,22,110
8,Annual Performance Review Process,HR,"performance,review,appraisal",1340,Alice Johnson,2024-01-22,published,830,4.5,15,75
9,Git Branching Strategy for Development Teams,DevOps,"git,branching,version-control",920,David Lee,2024-01-25,published,680,4.6,11,58
10,Docker Containerization Best Practices,DevOps,"docker,containers,devops",840,David Lee,2024-01-28,published,950,4.7,9,49
11,Kubernetes Deployment Guide,DevOps,"kubernetes,k8s,deployment",730,David Lee,2024-02-01,published,1100,4.5,7,41
12,How to Submit a Leave Request,HR,"leave,time-off,hr",1670,Alice Johnson,2024-02-03,published,380,4.2,14,88
13,Network Drive Mapping on Windows,IT Support,"network,drives,windows",1120,Jane Doe,2024-02-05,published,420,4.3,9,52
14,Software License Management Policy,IT Support,"licensing,software,policy",540,John Smith,2024-02-08,published,620,4.0,4,23
15,Introduction to the Company Intranet,HR,"intranet,company,portal",1450,Alice Johnson,2024-02-10,published,550,4.6,16,90
16,Travel and Accommodation Policy,Finance,"travel,accommodation,policy",820,Bob Williams,2024-02-12,published,710,4.3,8,47
17,How to Set Up Two-Factor Authentication,Security,"2fa,security,authentication",1380,Carol Davis,2024-02-15,published,460,4.8,20,95
18,Data Backup and Recovery Procedures,IT Support,"backup,recovery,data",690,John Smith,2024-02-18,published,780,4.4,6,38
19,CI/CD Pipeline Setup with Jenkins,DevOps,"cicd,jenkins,automation",610,David Lee,2024-02-20,published,1050,4.6,5,33
20,AWS Cloud Infrastructure Overview,DevOps,"aws,cloud,infrastructure",780,David Lee,2024-02-22,published,1200,4.7,8,44
21,How to Process a Purchase Order,Finance,"purchase,order,procurement",560,Bob Williams,2024-02-25,published,480,4.1,5,28
22,Code Review Guidelines,DevOps,"code-review,quality,standards",850,David Lee,2024-02-28,published,720,4.5,10,50
23,Workplace Safety and Emergency Procedures,HR,"safety,emergency,workplace",920,Alice Johnson,2024-03-01,published,860,4.6,12,63
24,Email Etiquette and Best Practices,HR,"email,communication,etiquette",1100,Alice Johnson,2024-03-03,published,540,4.4,14,72
25,How to Request IT Hardware,IT Support,"hardware,request,procurement",740,John Smith,2024-03-05,published,410,4.2,6,35
26,Database Backup Scheduling Guide,DevOps,"database,backup,scheduling",490,David Lee,2024-03-08,published,880,4.5,4,27
27,API Documentation Standards,DevOps,"api,documentation,standards",670,David Lee,2024-03-10,published,960,4.7,7,40
